Team,Matches,Points,WinPct,HomeWinPct,Goal difference,Goals for,Goals against,Shots_on_target_for,Shots_on_target_against,Avg_goals_in_match,Avg_shots_on_target_in_match
Benfica,272,642,74%,78%,432,644,212,1695,837,3.147,9.309
Sporting,272,628,72%,82%,355,577,222,1530,756,2.938,8.404
